#options: 2560x1440 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=11000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:30.82 aq:23.81 tex:623864 mv:53416 misc:7392 imb:543 pmb:10230 smb:3627 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:31.71 aq:29.12 tex:19708 mv:14795 misc:6673 imb:14 pmb:1680 smb:12706 d:t ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:32.16 aq:29.74 tex:3566 mv:4968 misc:2978 imb:2 pmb:575 smb:13823 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:31.27 aq:30.02 tex:5493 mv:6680 misc:4067 imb:2 pmb:850 smb:13548 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.08 aq:21.91 tex:1050885 mv:66036 misc:5455 imb:1077 pmb:11024 smb:2299 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:29.95 aq:26.84 tex:51927 mv:25362 misc:9119 imb:11 pmb:3004 smb:11385 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:30.39 aq:29.39 tex:6342 mv:8823 misc:4723 imb:4 pmb:1005 smb:13391 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:29.52 aq:28.03 tex:15542 mv:11676 misc:6670 imb:7 pmb:1593 smb:12800 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:28.06 aq:21.03 tex:1058447 mv:58490 misc:4895 imb:516 pmb:11770 smb:2114 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:28.57 aq:24.85 tex:60583 mv:23853 misc:9988 imb:20 pmb:3183 smb:11197 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:28.83 aq:27.50 tex:8958 mv:7889 misc:4873 imb:3 pmb:1016 smb:13381 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:28.31 aq:26.19 tex:13077 mv:9046 misc:5125 imb:5 pmb:1149 smb:13246 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:27.34 aq:20.31 tex:1363304 mv:61073 misc:4207 imb:674 pmb:12015 smb:1711 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:27.70 aq:24.41 tex:87559 mv:30407 misc:11018 imb:22 pmb:4019 smb:10359 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:27.88 aq:26.70 tex:14754 mv:9407 misc:5583 imb:3 pmb:1230 smb:13167 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:27.52 aq:25.90 tex:22790 mv:13141 misc:7493 imb:6 pmb:1945 smb:12449 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:26.87 aq:19.89 tex:1225893 mv:56529 misc:4866 imb:434 pmb:11976 smb:1990 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:27.11 aq:24.19 tex:72022 mv:27255 misc:9715 imb:19 pmb:3123 smb:11258 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:27.22 aq:25.90 tex:16349 mv:12807 misc:6380 imb:4 pmb:1510 smb:12886 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:26.99 aq:25.49 tex:25237 mv:13781 misc:7390 imb:5 pmb:1868 smb:12527 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:26.80 aq:19.98 tex:1186108 mv:53417 misc:5187 imb:474 pmb:11669 smb:2257 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:26.84 aq:23.74 tex:83006 mv:28053 misc:11005 imb:27 pmb:3815 smb:10558 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:26.86 aq:25.34 tex:22309 mv:11930 misc:6969 imb:6 pmb:1691 smb:12703 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:26.82 aq:25.72 tex:18564 mv:11409 misc:6355 imb:7 pmb:1452 smb:12941 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:26.87 aq:19.85 tex:1339089 mv:60021 misc:5138 imb:768 pmb:11441 smb:2191 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:26.84 aq:23.33 tex:128424 mv:35905 misc:11655 imb:37 pmb:5024 smb:9339 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:26.82 aq:25.75 tex:14191 mv:10145 misc:5944 imb:4 pmb:1248 smb:13148 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:26.85 aq:25.04 tex:32959 mv:16076 misc:9453 imb:9 pmb:2763 smb:11628 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:27.00 aq:20.11 tex:1062858 mv:51927 misc:5703 imb:382 pmb:11551 smb:2467 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:26.93 aq:23.90 tex:93925 mv:32717 misc:11838 imb:28 pmb:4393 smb:9979 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:26.90 aq:25.50 tex:17438 mv:11953 misc:7089 imb:9 pmb:1728 smb:12663 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:26.97 aq:25.96 tex:15854 mv:10948 misc:6318 imb:8 pmb:1499 smb:12893 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:26.92 aq:20.12 tex:1197005 mv:55408 misc:4763 imb:457 pmb:11527 smb:2416 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:26.96 aq:23.97 tex:79630 mv:28786 misc:10384 imb:28 pmb:3538 smb:10834 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:26.98 aq:24.99 tex:13951 mv:9102 misc:5459 imb:3 pmb:1203 smb:13194 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:26.94 aq:25.25 tex:25594 mv:14215 misc:7295 imb:8 pmb:1841 smb:12551 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:26.84 aq:20.10 tex:1433413 mv:59366 misc:3717 imb:726 pmb:11913 smb:1761 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:26.88 aq:23.92 tex:87531 mv:31091 misc:11082 imb:31 pmb:3973 smb:10396 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:26.90 aq:25.25 tex:26281 mv:13648 misc:7895 imb:8 pmb:2126 smb:12266 d:s ref:0 ;
